server_id,timestamp,request_count,unique_ips,avg_response_time,median_response_time,p95_response_time,p99_response_time,max_response_time,std_response_time,error_rate_5xx,error_rate_4xx,success_rate,avg_bytes_sent,total_bytes_sent,bot_ratio,mobile_ratio,desktop_ratio,api_ratio,static_ratio,auth_ratio,get_ratio,post_ratio,hour,is_weekend,is_business_hours,is_anomaly,anomaly_type
1,2024-01-01 00:15:00,1.0,1.0,153.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0,1.0,2256.0,2256.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,normal
1,2024-01-01 00:30:00,1.0,1.0,201.0,201.0,201.0,201.0,201.0,0.0,0.0,0.0,1.0,2452.0,2452.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,normal
1,2024-01-01 02:15:00,1.0,1.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,5087.0,5087.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,normal
1,2024-01-01 05:10:00,1.0,1.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,1.0,0.0,3680.0,3680.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0,normal
1,2024-01-01 07:00:00,1.0,1.0,145.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0,1.0,830.0,830.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0,normal
1,2024-01-01 07:20:00,1.0,1.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,0.0,2337.0,2337.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0,normal
1,2024-01-01 07:45:00,1.0,1.0,113.0,113.0,113.0,113.0,113.0,0.0,1.0,0.0,0.0,29445.0,29445.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1,error_spike
1,2024-01-01 07:55:00,1.0,1.0,223.0,223.0,223.0,223.0,223.0,0.0,0.0,1.0,0.0,2545.0,2545.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0,normal
1,2024-01-01 08:25:00,2.0,2.0,1247.0,1247.0,1948.1,2010.42,2026.0,1101.672365088641,0.0,0.0,1.0,10340.5,20681.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0,normal
1,2024-01-01 08:30:00,1.0,1.0,486.0,486.0,486.0,486.0,486.0,0.0,0.0,0.0,1.0,510.0,510.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,0,normal
1,2024-01-01 08:35:00,1.0,1.0,187.0,187.0,187.0,187.0,187.0,0.0,0.0,0.0,1.0,33564.0,33564.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0,normal
1,2024-01-01 08:40:00,1.0,1.0,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,1.0,176.0,176.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0,normal
1,2024-01-01 08:45:00,1.0,1.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,1.0,4270.0,4270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0,normal
1,2024-01-01 09:35:00,1.0,1.0,261.0,261.0,261.0,261.0,261.0,0.0,0.0,0.0,1.0,1741.0,1741.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0,normal
1,2024-01-01 09:40:00,1.0,1.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,1.0,0.0,6628.0,6628.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,0,normal
1,2024-01-01 09:45:00,1.0,1.0,755.0,755.0,755.0,755.0,755.0,0.0,0.0,0.0,1.0,1711.0,1711.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0,normal
1,2024-01-01 10:00:00,1.0,1.0,57.0,57.0,57.0,57.0,57.0,0.0,0.0,0.0,1.0,2120.0,2120.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0,normal
1,2024-01-01 10:05:00,1.0,1.0,793.0,793.0,793.0,793.0,793.0,0.0,0.0,0.0,1.0,4805.0,4805.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,0,normal
1,2024-01-01 11:25:00,1.0,1.0,140.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,1.0,2634.0,2634.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0,normal
1,2024-01-01 11:55:00,1.0,1.0,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,1.0,9651.0,9651.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,0,normal
1,2024-01-01 12:00:00,1.0,1.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,1.0,7033.0,7033.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0,normal
1,2024-01-01 12:05:00,1.0,1.0,428.0,428.0,428.0,428.0,428.0,0.0,0.0,0.0,1.0,30543.0,30543.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0,normal
1,2024-01-01 12:30:00,1.0,1.0,361.0,361.0,361.0,361.0,361.0,0.0,0.0,1.0,0.0,10819.0,10819.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,1.0,0,normal
1,2024-01-01 12:40:00,2.0,2.0,76.5,76.5,139.95,145.59,147.0,99.7020561473032,0.5,0.0,0.5,841.5,1683.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,12.0,0.0,1.0,1,error_spike
1,2024-01-01 12:50:00,1.0,1.0,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,1038.0,1038.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,0,normal
