request_count,unique_ips,avg_response_time,median_response_time,p95_response_time,p99_response_time,max_response_time,std_response_time,error_rate_5xx,error_rate_4xx,success_rate,avg_bytes_sent,total_bytes_sent,bot_ratio,mobile_ratio,desktop_ratio,api_ratio,static_ratio,auth_ratio,get_ratio,post_ratio,hour,is_weekend,is_business_hours,response_time_change,request_count_change,error_rate_change,rolling_avg_response,response_vs_rolling,stress_score,quality_degradation,latency_spike,error_severity_ratio,response_cv,load_pressure,log_avg_response,log_p99_response,log_std_response,log_load_pressure,response_vs_rolling_abs,response_zscore_per_server,severity_latency,severity_error,severity_traffic,max_severity,combined_severity
1.0,1.0,153.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0,1.0,2256.0,2256.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,153.0,151.4851485148515,0.0,0.0,0.0,153.0,5.0369526024136295,5.0369526024136295,0.0,5.0369526024136295,0.0,-0.08164887292495757,-0.898,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,290.0,290.0,290.0,290.0,290.0,0.0,0.0,0.0,0.0,10395.0,10395.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,290.0,29000.0,0.0,0.0,0.0,290.0,5.673323267171493,5.673323267171493,0.0,5.673323267171493,0.0,0.3769333477482474,-0.8066666666666666,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,201.0,201.0,201.0,201.0,201.0,0.0,0.0,0.0,1.0,2452.0,2452.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0,177.0,24.0,201.0,199.009900990099,0.0,0.0,0.0,201.0,5.308267697401205,5.308267697401205,0.0,5.308267697401205,24.0,0.08638770947119047,-0.866,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,31.0,31.0,31.0,31.0,31.0,0.0,0.0,0.0,1.0,2324.0,2324.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-259.0,0.0,0.0,160.5,-129.5,31.0,30.693069306930692,0.0,0.0,0.0,31.0,3.4657359027997265,3.4657359027997265,0.0,3.4657359027997265,129.5,-0.5195944059728278,-0.9793333333333333,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,64.0,64.0,64.0,64.0,64.0,0.0,0.0,0.0,1.0,449.0,449.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,128.33333333333334,-64.33333333333334,64.0,63.366336633663366,0.0,0.0,0.0,64.0,4.174387269895637,4.174387269895637,0.0,4.174387269895637,64.33333333333334,-0.40536500105855955,-0.9573333333333334,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,5087.0,5087.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,-151.0,0.0,0.0,134.66666666666666,-84.66666666666666,50.0,49.504950495049506,0.0,0.0,0.0,50.0,3.9318256327243257,3.9318256327243257,0.0,3.9318256327243257,84.66666666666666,-0.4422273726500252,-0.9666666666666667,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,1.0,3849.0,3849.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,49.504950495049506,0.0,0.0,0.0,50.0,3.9318256327243257,3.9318256327243257,0.0,3.9318256327243257,0.0,-0.4316475808677449,-0.9666666666666667,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,121.0,121.0,121.0,121.0,121.0,0.0,0.0,0.0,1.0,2298.0,2298.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,71.0,0.0,0.0,85.5,35.5,121.0,119.8019801980198,0.0,0.0,0.0,121.0,4.804021044733257,4.804021044733257,0.0,4.804021044733257,35.5,-0.19989443449282293,-0.9193333333333333,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,339.0,339.0,339.0,339.0,339.0,0.0,0.0,1.0,0.0,3680.0,3680.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,289.0,0.0,0.0,196.66666666666666,142.33333333333334,339.0,33900.0,0.0,0.0,0.0,339.0,5.8289456176102075,5.8289456176102075,0.0,5.8289456176102075,142.33333333333334,0.5694928838601161,-0.774,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,97.0,97.0,97.0,97.0,97.0,0.0,0.0,0.0,0.0,2007.0,2007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,33.0,0.0,0.0,64.0,33.0,97.0,9700.0,0.0,0.0,0.0,97.0,4.584967478670572,4.584967478670572,0.0,4.584967478670572,33.0,-0.2911355961442913,-0.9353333333333333,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
2.0,2.0,17.0,17.0,23.3,23.86,24.0,9.899494936611665,0.0,0.0,1.0,3274.0,6548.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,5.0,0.0,0.0,-104.0,1.0,0.0,62.666666666666664,-45.666666666666664,17.0,16.831683168316832,6.859999999999999,0.0,0.5823231973110863,34.0,2.8903717578961645,3.213260086082565,2.3887164520708755,3.5553480614894135,45.666666666666664,-0.5393638319997509,-0.9844666666666667,-1.0,-0.11140000000000008,-0.11140000000000008,0.0
1.0,1.0,63.0,63.0,63.0,63.0,63.0,0.0,0.0,0.0,1.0,11816.0,11816.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,-1.0,0.0,67.0,-4.0,63.0,62.37623762376238,0.0,0.0,0.0,63.0,4.1588830833596715,4.1588830833596715,0.0,4.1588830833596715,4.0,-0.3892139061793789,-0.958,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,419.0,419.0,419.0,419.0,419.0,0.0,0.0,0.0,1.0,1595.0,1595.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,322.0,0.0,0.0,193.33333333333334,225.66666666666666,419.0,414.8514851485148,0.0,0.0,0.0,419.0,6.040254711277414,6.040254711277414,0.0,6.040254711277414,225.66666666666666,0.8234664760494779,-0.7206666666666667,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,55.0,55.0,55.0,55.0,55.0,0.0,0.0,0.0,1.0,2955.0,2955.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,-364.0,0.0,0.0,190.33333333333334,-135.33333333333334,55.0,54.45544554455446,0.0,0.0,0.0,55.0,4.02535169073515,4.02535169073515,0.0,4.02535169073515,135.33333333333334,-0.43651847512608727,-0.9633333333333334,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
2.0,2.0,64.5,64.5,90.14999999999999,92.42999999999999,93.0,40.30508652763321,0.0,0.0,0.5,24039.5,48079.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,6.0,0.0,0.0,1.5,1.0,0.0,48.166666666666664,16.333333333333336,64.5,126.47058823529412,27.929999999999993,0.0,0.6248850527557853,129.0,4.182050142641207,4.537212492804864,3.720985652858739,4.867534450455582,16.333333333333336,-0.3843177129461059,-0.9399,-1.0,-0.11140000000000008,-0.11140000000000008,0.0
1.0,1.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,1.0,9790.0,9790.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,-31.0,0.0,0.0,166.0,-142.0,24.0,23.762376237623762,0.0,0.0,0.0,24.0,3.2188758248682006,3.2188758248682006,0.0,3.2188758248682006,142.0,-0.5438248858031272,-0.984,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,145.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0,1.0,830.0,830.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,-194.0,0.0,0.0,178.0,-33.0,145.0,143.56435643564356,0.0,0.0,0.0,145.0,4.983606621708336,4.983606621708336,0.0,4.983606621708336,33.0,-0.10965496999098223,-0.9033333333333333,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0,0.0,1904.0,1904.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,-15.0,0.0,0.0,29.333333333333332,-20.333333333333332,9.0,900.0,0.0,0.0,0.0,9.0,2.302585092994046,2.302585092994046,0.0,2.302585092994046,20.333333333333332,-0.59574734258234,-0.994,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,96.0,96.0,96.0,96.0,96.0,0.0,0.0,0.0,1.0,7675.0,7675.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,31.5,-1.0,0.0,74.5,21.5,96.0,95.04950495049505,0.0,0.0,0.0,96.0,4.574710978503383,4.574710978503383,0.0,4.574710978503383,21.5,-0.2814976550473729,-0.936,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,0.0,2337.0,2337.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,-120.0,0.0,0.0,169.66666666666666,-144.66666666666666,25.0,2500.0,0.0,0.0,0.0,25.0,3.258096538021482,3.258096538021482,0.0,3.258096538021482,144.66666666666666,-0.5297464259813524,-0.9833333333333333,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,113.0,113.0,113.0,113.0,113.0,0.0,1.0,0.0,0.0,29445.0,29445.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,88.0,0.0,1.0,94.33333333333333,18.66666666666667,226.0,11300.0,0.0,0.9999990000010001,0.0,113.0,4.736198448394496,4.736198448394496,0.0,4.736198448394496,18.66666666666667,-0.22167935825508092,-0.9246666666666666,49.0,-0.5557000000000001,49.0,49.0
1.0,1.0,223.0,223.0,223.0,223.0,223.0,0.0,0.0,1.0,0.0,2545.0,2545.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,110.0,0.0,-1.0,120.33333333333333,102.66666666666667,223.0,22300.0,0.0,0.0,0.0,223.0,5.4116460518550396,5.4116460518550396,0.0,5.4116460518550396,102.66666666666667,0.16340447640275832,-0.8513333333333334,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
1.0,1.0,44.0,44.0,44.0,44.0,44.0,0.0,0.0,1.0,0.0,5779.0,5779.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,-52.0,0.0,0.0,68.16666666666667,-24.16666666666667,44.0,4400.0,0.0,0.0,0.0,44.0,3.8066624897703196,3.8066624897703196,0.0,3.8066624897703196,24.16666666666667,-0.4512323538008369,-0.9706666666666667,-1.0,-0.5557000000000001,-0.5557000000000001,0.0
